trace_id,current_id,previous_events,alignment,cost_of_alignment
trace_0,root-A-B,AB,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""}]",0
trace_1,root-A-B,AB,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""}]",0
trace_10,root-A-B-G,ABG,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""},{""event"":""G"",""move_type"":""sync""}]",0
trace_100,root-A-B,ABW,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""},{""event"":""W"",""move_type"":""log""}]",1
trace_1000,root-A-B-C,ABC,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""},{""event"":""C"",""move_type"":""sync""}]",0
trace_1001,root-A-B-D-E,ABDE,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""},{""event"":""D"",""move_type"":""sync""},{""event"":""E"",""move_type"":""sync""}]",0
trace_1002,root-A-B-D-E,ABDE,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""},{""event"":""D"",""move_type"":""sync""},{""event"":""E"",""move_type"":""sync""}]",0
trace_1003,root-A-B,ABNTRSUO,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""},{""event"":""N"",""move_type"":""log""},{""event"":""T"",""move_type"":""log""},{""event"":""R"",""move_type"":""log""},{""event"":""S"",""move_type"":""log""},{""event"":""U"",""move_type"":""log""},{""event"":""O"",""move_type"":""log""}]",6
trace_1004,root-A-B,ABW,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""},{""event"":""W"",""move_type"":""log""}]",1
trace_1005,root-A-B-D-E-E-H-I-J-K-L-M,ABHIJKLM,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""},{""event"":""D"",""move_type"":""model""},{""event"":""E"",""move_type"":""model""},{""event"":""E"",""move_type"":""model""},{""event"":""H"",""move_type"":""sync""},{""event"":""I"",""move_type"":""sync""},{""event"":""J"",""move_type"":""sync""},{""event"":""K"",""move_type"":""sync""},{""event"":""L"",""move_type"":""sync""},{""event"":""M"",""move_type"":""sync""}]",3
trace_1006,root-A-B,ABW,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""},{""event"":""W"",""move_type"":""log""}]",1
trace_1007,root-A-B-D-E-E-H-I-J-K-L-M,ABHIJKLM,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""},{""event"":""D"",""move_type"":""model""},{""event"":""E"",""move_type"":""model""},{""event"":""E"",""move_type"":""model""},{""event"":""H"",""move_type"":""sync""},{""event"":""I"",""move_type"":""sync""},{""event"":""J"",""move_type"":""sync""},{""event"":""K"",""move_type"":""sync""},{""event"":""L"",""move_type"":""sync""},{""event"":""M"",""move_type"":""sync""}]",3
trace_1008,root-A-B,ABW,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""},{""event"":""W"",""move_type"":""log""}]",1
trace_1009,root-A-B,AB,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""}]",0
trace_101,root-A-B-C,ABC,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""},{""event"":""C"",""move_type"":""sync""}]",0
trace_1010,root-A-B-C,ABC,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""},{""event"":""C"",""move_type"":""sync""}]",0
trace_1011,root-A-B,AB,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""}]",0
trace_1012,root-A-B-D-E-E-H-J-I-K-L-M,ABHJIKLM,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""},{""event"":""D"",""move_type"":""model""},{""event"":""E"",""move_type"":""model""},{""event"":""E"",""move_type"":""model""},{""event"":""H"",""move_type"":""sync""},{""event"":""J"",""move_type"":""sync""},{""event"":""I"",""move_type"":""sync""},{""event"":""K"",""move_type"":""sync""},{""event"":""L"",""move_type"":""sync""},{""event"":""M"",""move_type"":""sync""}]",3
trace_1013,root-A-B-V,ABV,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""},{""event"":""V"",""move_type"":""sync""}]",0
trace_1014,root-A-B-D-E,ABDE,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""},{""event"":""D"",""move_type"":""sync""},{""event"":""E"",""move_type"":""sync""}]",0
trace_1015,root-A-B,ABNURSTO,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""},{""event"":""N"",""move_type"":""log""},{""event"":""U"",""move_type"":""log""},{""event"":""R"",""move_type"":""log""},{""event"":""S"",""move_type"":""log""},{""event"":""T"",""move_type"":""log""},{""event"":""O"",""move_type"":""log""}]",6
trace_1016,root-A-B-G,ABG,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""},{""event"":""G"",""move_type"":""sync""}]",0
trace_1017,root-A-B-G,ABG,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""},{""event"":""G"",""move_type"":""sync""}]",0
trace_1018,root-A-B-G,ABG,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""},{""event"":""G"",""move_type"":""sync""}]",0
trace_1019,root-A-B-D-E,ABDE,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""},{""event"":""D"",""move_type"":""sync""},{""event"":""E"",""move_type"":""sync""}]",0
trace_102,root-A-B,ABW,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""},{""event"":""W"",""move_type"":""log""}]",1
trace_1020,root-A-B-D-E,ABDE,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""},{""event"":""D"",""move_type"":""sync""},{""event"":""E"",""move_type"":""sync""}]",0
trace_1021,root-A-B-V,ABV,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""},{""event"":""V"",""move_type"":""sync""}]",0
trace_1022,root-A-B,ABNTSRUO,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""},{""event"":""N"",""move_type"":""log""},{""event"":""T"",""move_type"":""log""},{""event"":""S"",""move_type"":""log""},{""event"":""R"",""move_type"":""log""},{""event"":""U"",""move_type"":""log""},{""event"":""O"",""move_type"":""log""}]",6
trace_1023,root-A-B-D-E,ABDE,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""},{""event"":""D"",""move_type"":""sync""},{""event"":""E"",""move_type"":""sync""}]",0
trace_1024,root-A-B,AB,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""}]",0
trace_1025,root-A-B-C,ABC,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""},{""event"":""C"",""move_type"":""sync""}]",0
trace_1026,root-A-B-D-E-E-H-J-I-K-L-M,ABHJIKLM,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""},{""event"":""D"",""move_type"":""model""},{""event"":""E"",""move_type"":""model""},{""event"":""E"",""move_type"":""model""},{""event"":""H"",""move_type"":""sync""},{""event"":""J"",""move_type"":""sync""},{""event"":""I"",""move_type"":""sync""},{""event"":""K"",""move_type"":""sync""},{""event"":""L"",""move_type"":""sync""},{""event"":""M"",""move_type"":""sync""}]",3
trace_1027,root-A-B-C,ABC,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""},{""event"":""C"",""move_type"":""sync""}]",0
trace_1028,root-A-B,AB,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""}]",0
trace_1029,root-A-B,AB,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""}]",0
trace_103,root-A-B,ABNO,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""},{""event"":""N"",""move_type"":""log""},{""event"":""O"",""move_type"":""log""}]",2
trace_1030,root-A-B-V,ABV,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""},{""event"":""V"",""move_type"":""sync""}]",0
trace_1031,root-A-B,ABW,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""},{""event"":""W"",""move_type"":""log""}]",1
trace_1032,root-A-B-V,ABV,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""},{""event"":""V"",""move_type"":""sync""}]",0
trace_1033,root-A-B,ABW,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""},{""event"":""W"",""move_type"":""log""}]",1
trace_1034,root-A-B-G,ABG,"[{""event"":""A"",""move_type"":""sync""},{""event"":""B"",""move_type"":""sync""},{""event"":""G"",""move_type"":""sync""}]",0
